decade, abiealba, piceabie, fagusilv, elevation, area
0, 1344, 1459.2, 991.2, 862, 1.25
0, 1192.62, 1101.54, 1278.77, 863, 0.8125
0, 1387.64, 1179.64, 1080.73, 864, 0.6875
0, 1334.1, 1266.29, 1092.57, 865, 1.3125
0, 1556.57, 1192, 1158.86, 866, 0.875
0, 1397.33, 1157.33, 1128.38, 867, 1.3125
0, 1771.29, 1093.65, 967.529, 868, 1.0625
0, 1383.38, 1179.08, 1191.38, 869, 0.8125
0, 1346, 1276, 960, 870, 1
0, 1342.12, 1196.24, 898.824, 871, 1.0625
0, 1435.29, 1199.06, 1027.76, 872, 1.0625
0, 1234.82, 1215.06, 999.529, 873, 1.0625
0, 1572.57, 1051.43, 1032.38, 874, 1.3125
0, 1216, 1115.29, 1158.59, 875, 1.0625
0, 1676.24, 979.765, 1077.65, 876, 1.0625
0, 1481.14, 1222.86, 933.714, 877, 0.875
0, 1303.47, 1095.47, 1145.6, 878, 0.9375
0, 1245.09, 1205.09, 933.818, 879, 1.375
0, 1259.43, 1360, 1091.43, 880, 0.875
0, 1486, 1069, 1075, 881, 1
0, 1138.13, 1080.53, 1225.6, 882, 0.9375
0, 1283.56, 1260.44, 1085.33, 883, 1.125
0, 1429.65, 1242.35, 952.471, 884, 1.0625
0, 1583, 1096, 913, 885, 1
0, 1555.2, 1160, 874.4, 886, 1.25
0, 1527.47, 1078.4, 1036.8, 887, 0.9375
0, 1366.86, 1259.43, 1062.29, 888, 1.75
0, 1552.94, 1094.59, 1040, 889, 1.0625
0, 1204.8, 1390.4, 996.8, 890, 0.625
0, 1311, 1188, 995, 891, 1
0, 1613.47, 1064.42, 983.579, 892, 1.1875
0, 1234.91, 1200, 1197.09, 893, 1.375
0, 1200.64, 1358.72, 1089.28, 894, 1.5625
0, 1299.43, 1321.14, 1060.57, 895, 0.875
0, 1507.2, 1185.07, 962.133, 896, 0.9375
0, 1276.19, 1256.38, 978.286, 897, 1.3125
0, 1432.8, 1405.6, 872.8, 898, 1.25
0, 1319.53, 1161.41, 1120, 899, 1.0625
0, 1536, 1318.15, 883.692, 900, 0.8125
0, 1472.89, 1180.44, 1030.22, 901, 1.125
0, 1321.9, 1244.95, 1132.19, 902, 1.3125
0, 1449, 1025, 1009, 903, 1
0, 1401.41, 1124.71, 1096.47, 904, 1.0625
0, 1432.8, 1311.2, 819.2, 905, 1.25
0, 1475.69, 1292.31, 1060.92, 906, 0.8125
0, 1405.33, 1088, 1150.67, 907, 0.75
0, 1514.35, 1253.65, 1030.59, 908, 1.0625
0, 1200, 1282.09, 1113.04, 909, 1.4375
0, 1201.45, 1255.27, 1188.36, 910, 0.6875
0, 1258.11, 1299.37, 1088, 911, 1.1875
0, 1084.44, 1398.22, 1191.11, 912, 1.125
0, 1319.53, 910.118, 1442.82, 913, 1.0625
0, 1420.8, 1290.67, 1019.73, 914, 0.9375
0, 1534.48, 1094.86, 1122.29, 915, 1.3125
0, 1285.89, 1289.26, 1109.05, 916, 1.1875
0, 1398, 1306.67, 926, 917, 1.5
0, 1288, 980.8, 1288, 918, 0.625
0, 1494.22, 1150.22, 1152.89, 919, 1.125
0, 1300.36, 1262.55, 1134.55, 920, 1.375
0, 1372.95, 1219.81, 1113.14, 921, 1.3125
0, 1463.68, 1068.8, 1153.28, 922, 1.5625
0, 1446.4, 1172.8, 1072.8, 923, 1.25
0, 1574.74, 1188.21, 931.368, 924, 1.1875
0, 1604.92, 1276.31, 834.462, 925, 0.8125
0, 1230.22, 1483.56, 1072.89, 926, 1.125
0, 1485.71, 1149.71, 1187.43, 927, 0.875
0, 1340, 1165.14, 1096, 928, 1.75
0, 1228.36, 1469.82, 1060.36, 929, 1.375
0, 1481.41, 1226.35, 1050.35, 930, 1.0625
0, 1382.86, 1334.1, 1097.14, 931, 1.3125
0, 1337.14, 1230.86, 1124, 932, 1.75
0, 1426.67, 1378, 987.333, 933, 1.5
0, 1349.65, 1319.53, 1151.06, 934, 1.0625
0, 1445.09, 1175.27, 1192.73, 935, 1.375
0, 1443.84, 1387.52, 1008.64, 936, 1.5625
0, 1088, 1379.84, 1216.64, 937, 1.5625
0, 1315.56, 1371.85, 1051.85, 938, 1.6875
0, 1315.37, 1334.74, 1145.26, 939, 1.1875
0, 1345.6, 1466.67, 1010.13, 940, 1.875
0, 1346, 1409.33, 1025.33, 941, 1.5
0, 1377.03, 1320.26, 1089.03, 942, 1.9375
0, 1414.86, 1462.86, 1003.43, 943, 0.875
0, 1404.19, 1328.76, 1057.52, 944, 1.3125
0, 1476.74, 1362.96, 1044.15, 945, 1.6875
0, 1786.4, 1200, 918.4, 946, 1.25
0, 1344.48, 1405.58, 1056.97, 947, 2.0625
0, 1305.78, 1062.22, 1404.44, 948, 1.125
0, 1336.65, 1407.57, 1059.89, 949, 2.3125
0, 1603.1, 1208.77, 1094.19, 950, 1.9375
0, 1377.41, 1422.59, 1132.24, 951, 2.125
0, 1371.2, 1318.93, 1138.13, 952, 1.875
0, 1474.73, 1397.46, 1164.1, 953, 2.5625
0, 1300.27, 1426.67, 1198.4, 954, 1.875
0, 1438.58, 1448.89, 1113.6, 955, 2.8125
0, 1355.73, 1411.56, 1230.22, 956, 2.8125
0, 1511.23, 1252.65, 1171.61, 957, 1.9375
0, 1388.12, 1482.67, 1133.09, 958, 2.0625
0, 1733.76, 1377.28, 940.8, 959, 1.5625
0, 1646.67, 1375.33, 976.667, 960, 1.5
0, 1531.85, 1421.63, 1049.48, 961, 1.6875
0, 1689.33, 1108, 1250.67, 962, 0.75
0, 1386.67, 1235.2, 1303.47, 963, 0.9375
0, 1642.11, 1427.37, 888.421, 964, 1.1875
0, 1591.38, 1323.08, 1005.54, 965, 0.8125
0, 1691.08, 868.923, 1367.38, 966, 0.8125
0, 1553.14, 1294.86, 1062.86, 967, 0.875
0, 1701.65, 1308.24, 1076.71, 968, 1.0625
0, 1449.78, 1299.56, 1210.67, 969, 1.125
0, 1333.71, 1361.14, 1273.14, 970, 0.875
0, 1458, 1568, 1023.33, 971, 1.5
0, 1563.43, 1443.81, 993.524, 972, 1.3125
0, 1245.09, 1633.45, 1105.45, 973, 1.375
0, 1398, 1483, 1201, 974, 1
0, 1475.81, 1686.86, 971.429, 975, 1.3125
0, 1124.71, 1702.59, 1152.94, 976, 1.0625
0, 1550.86, 1323.43, 1166.86, 977, 0.875
0, 1477.6, 1289.6, 1212.8, 978, 1.25
0, 988.8, 1696, 1249.07, 979, 0.9375
0, 1377, 1693, 933, 980, 1
0, 1504, 1156.57, 1368, 981, 0.875
0, 1448, 1462.86, 1138.29, 982, 0.875
0, 1314.82, 1591.53, 1056.94, 983, 1.0625
0, 1432, 1542.67, 1210.67, 984, 0.75
0, 1270.4, 1635.2, 1140, 985, 1.25
0, 1554.91, 1671.27, 830.545, 986, 0.6875
0, 1496.62, 1212.31, 1216, 987, 0.8125
0, 1613, 1348, 1065, 988, 1
0, 1374.93, 1589.33, 1132.8, 989, 0.9375
0, 1700.8, 1398.4, 1019.2, 990, 1.25
0, 949.333, 1520, 1034.67, 991, 0.1875
1, 1248, 368, 1272, 603, 0.125
1, 1336, 780, 1064, 605, 0.25
1, 1072, 800, 1200, 606, 0.0625
1, 768, 988, 1124, 607, 0.25
1, 1104, 704, 1210.67, 608, 0.1875
1, 1008, 592, 1280, 609, 0.0625
1, 1392, 864, 725.333, 611, 0.1875
1, 632, 1056, 1416, 613, 0.125
1, 741.333, 800, 1290.67, 615, 0.1875
1, 1513.6, 969.6, 480, 616, 0.3125
1, 1114.67, 896, 1146.67, 617, 0.1875
1, 1496, 1040, 544, 618, 0.125
1, 1252, 992, 892, 619, 0.25
1, 1077.33, 890.667, 1253.33, 620, 0.1875
1, 1352, 376, 1328, 621, 0.125
1, 1107.2, 816, 1164.8, 622, 0.3125
1, 1200, 736, 1034.67, 623, 0.1875
1, 1050.67, 856, 1133.33, 624, 0.375
1, 1237.33, 773.333, 1104, 625, 0.1875
1, 1093.33, 656, 1200, 626, 0.1875
1, 1072, 792, 1232, 627, 0.125
1, 1488, 1104, 160, 629, 0.0625
1, 692, 1496, 988, 630, 0.25
1, 1253.33, 544, 1184, 631, 0.1875
1, 1235.2, 633.6, 1260.8, 632, 0.3125
1, 1192, 792, 1264, 633, 0.125
1, 1338.67, 538.667, 1237.33, 634, 0.1875
1, 576, 944, 1264, 635, 0.125
1, 1168, 816, 1312, 636, 0.0625
1, 1280, 880, 816, 637, 0.0625
1, 1216, 528, 1264, 638, 0.0625
1, 1232, 912, 1040, 639, 0.0625
1, 1112, 900, 1072, 640, 0.5
1, 1024, 832, 1072, 641, 0.0625
1, 88, 1192, 2008, 643, 0.125
1, 1232, 800, 1216, 644, 0.0625
1, 1456, 1096, 664, 645, 0.125
1, 1184, 272, 1472, 646, 0.0625
1, 1088, 404, 1656, 647, 0.25
1, 1066.67, 496, 1434.67, 648, 0.1875
1, 1316, 616, 1256, 649, 0.25
1, 1066.67, 512, 1509.33, 650, 0.375
1, 1024, 896, 1280, 651, 0.125
1, 1130.67, 650.667, 1381.33, 652, 0.1875
1, 1400, 224, 1616, 653, 0.125
1, 1174.4, 745.6, 1356.8, 654, 0.3125
1, 1248, 880, 1184, 655, 0.0625
1, 1030.4, 790.4, 1548.8, 656, 0.3125
1, 1138.29, 436.571, 1661.71, 657, 0.4375
1, 1238.86, 518.857, 1456, 658, 0.4375
1, 1160, 644, 1348, 659, 0.5
1, 1309.71, 356.571, 1659.43, 660, 0.4375
1, 1097.14, 548.571, 1472, 661, 0.4375
1, 992, 988.8, 1180.8, 662, 0.3125
1, 809.6, 812.8, 1564.8, 663, 0.3125
1, 914.286, 640, 1677.71, 664, 0.4375
1, 1420, 648, 1140, 665, 0.25
1, 1152, 608, 1456, 666, 0.1875
1, 1017.14, 704, 1730.29, 667, 0.4375
1, 1108, 462, 1656, 668, 0.5
1, 1200, 683.2, 1265.6, 669, 0.625
1, 1112, 568, 1522.67, 670, 0.375
1, 1338.67, 1016, 821.333, 671, 0.375
1, 1577.6, 892.8, 640, 672, 0.3125
1, 1232, 376, 1552, 673, 0.25
1, 1178.67, 572, 1397.33, 674, 0.75
1, 1144, 544, 1504, 675, 0.25
1, 2448, 376, 768, 676, 0.125
1, 1179.43, 388.571, 1492.57, 677, 0.4375
1, 1015.27, 685.091, 1456, 678, 0.6875
1, 1573.33, 545.778, 947.556, 679, 0.5625
1, 974.222, 888.889, 1427.56, 680, 0.5625
1, 1109.33, 602.667, 1506.67, 681, 0.375
1, 716.8, 793.6, 1724.8, 682, 0.3125
1, 1244, 516, 1412, 683, 0.25
1, 1320.89, 469.333, 1408, 684, 0.5625
1, 1257.6, 265.6, 1603.2, 685, 0.3125
1, 1016.89, 659.556, 1489.78, 686, 0.5625
1, 1473.78, 771.556, 792.889, 687, 0.5625
1, 924.8, 492.8, 1798.4, 688, 0.3125
1, 1227.43, 562.286, 1360, 689, 0.4375
1, 1112, 533.333, 1717.33, 690, 0.375
1, 1817.14, 237.714, 1149.71, 691, 0.4375
1, 1241.33, 412, 1388, 692, 0.75
1, 1385.6, 320, 1388.8, 693, 0.3125
1, 1220, 400, 1432, 694, 0.25
1, 1730.67, 341.333, 1069.33, 695, 0.375
1, 1264, 485.333, 1632, 696, 0.1875
1, 950, 892, 1230, 697, 0.5
1, 1188.92, 707.692, 1292.31, 698, 0.8125
1, 1108, 772, 1276, 699, 0.25
1, 1002.67, 606.667, 1762.67, 700, 0.75
1, 1366.86, 605.714, 1053.71, 701, 0.4375
1, 1421.09, 526.545, 1269.82, 702, 0.6875
1, 1113.14, 464, 1627.43, 703, 0.4375
1, 1110.4, 500.8, 1584, 704, 0.625
1, 1277.54, 715.077, 1143.38, 705, 0.8125
1, 1206, 570, 1408, 706, 1
1, 1018.18, 375.273, 1815.27, 707, 0.6875
1, 1422.67, 350.667, 1421.33, 708, 0.75
1, 1500.44, 565.333, 940.444, 709, 0.5625
1, 1270.86, 544, 1396.57, 710, 0.875
1, 1256.73, 576, 1296, 711, 0.6875
1, 1104, 731, 1330, 712, 1
1, 1068, 752, 1342.67, 713, 0.75
1, 1361.78, 615.111, 1144.89, 714, 0.5625
1, 1276.44, 600.889, 1259.56, 715, 1.125
1, 1444.57, 451.429, 1264, 716, 0.875
1, 1332, 332, 1350, 717, 0.5
1, 976, 728.889, 1504, 718, 0.5625
1, 1341.54, 408.615, 1339.08, 719, 0.8125
1, 601.143, 827.429, 1917.71, 720, 0.4375
1, 1160.73, 501.818, 1506.91, 721, 0.6875
1, 1255.38, 337.231, 1426.46, 722, 0.8125
1, 1061.33, 674.667, 1325.33, 723, 0.375
1, 1373.54, 487.385, 1296, 724, 0.8125
1, 1501.71, 242.286, 1236.57, 725, 0.4375
1, 1027, 891, 1159, 726, 1
1, 1722.67, 232.889, 1264, 727, 0.5625
1, 1102.55, 912, 1172.36, 728, 0.6875
1, 1639.27, 369.455, 1205.82, 729, 0.6875
1, 1236.36, 760.727, 1248, 730, 0.6875
1, 1563.2, 545.6, 1171.2, 731, 0.625
1, 1434.67, 820.267, 947.2, 732, 0.9375
1, 1177.6, 892.8, 1148.8, 733, 0.625
1, 1609.6, 489.6, 1163.2, 734, 0.625
1, 1321.41, 914.824, 993.882, 735, 1.0625
1, 1237.33, 789.333, 1219.56, 736, 0.5625
1, 1204, 718.667, 1240, 737, 0.75
1, 1112.89, 917.333, 1139.56, 738, 0.5625
1, 1246.22, 736, 1432.89, 739, 0.5625
1, 1501.33, 353.333, 1184, 740, 0.75
1, 1091.2, 763.2, 1336, 741, 0.625
1, 1473.78, 590.222, 1063.11, 742, 0.5625
1, 1249.45, 773.818, 1184, 743, 0.6875
1, 1006, 1086, 1070, 744, 1
1, 1041.6, 720, 1656, 745, 0.625
1, 1401.6, 486.4, 1116.8, 746, 0.625
1, 1320, 366.667, 1134.67, 747, 0.75
1, 1364.57, 594.286, 1030.86, 748, 0.4375
1, 1294.86, 690.286, 1361.14, 749, 0.875
1, 1314.29, 659.429, 1180.57, 750, 0.875
1, 1256, 576, 1248, 751, 0.625
1, 1237.33, 658.667, 1151.11, 752, 1.125
1, 1558.67, 365.333, 986.667, 753, 0.75
1, 970.667, 920.889, 1292.44, 754, 0.5625
1, 1195.64, 743.273, 1175.27, 755, 0.6875
1, 1377.14, 398.857, 1197.71, 756, 0.875
1, 1417.14, 715.429, 921.143, 757, 0.4375
1, 1340.8, 656, 1128, 758, 0.625
1, 1307.08, 630.154, 1051.08, 759, 0.8125
1, 1515.64, 330.182, 1451.64, 760, 0.6875
1, 1552, 480, 1107.43, 761, 0.875
1, 1444.92, 605.538, 1056, 762, 0.8125
1, 1370.67, 381.333, 1165.33, 763, 0.375
1, 1242, 984, 932, 764, 0.5
1, 1273.6, 678.4, 1140.27, 765, 0.9375
1, 1385.6, 368, 1152, 766, 0.625
