decade, abiealba, piceabie, fagusilv, elevation, area
0, 25.1416, 18.5358, 10.0313, 802, 0.375
0, 22.1009, 12.4945, 20.3671, 803, 0.625
0, 20.1351, 14.8043, 21.1582, 804, 0.75
0, 21.0578, 13.5204, 18.8269, 805, 0.5625
0, 23.7949, 12.5977, 20.2999, 806, 0.9375
0, 16.6338, 18.0706, 17.9695, 807, 0.8125
0, 19.4539, 15.6147, 23.1789, 808, 0.625
0, 21.1785, 15.1878, 20.5227, 809, 0.625
0, 20.5242, 13.9413, 24.6134, 810, 0.75
0, 18.9187, 16.0147, 17.3587, 811, 0.8125
0, 19.777, 17.013, 17.4351, 812, 0.4375
0, 23.4898, 13.7477, 18.8475, 813, 0.5625
0, 21.5509, 12.9826, 19.2927, 814, 0.875
0, 22.3925, 14.05, 20.2266, 815, 0.9375
0, 21.1958, 13.1892, 18.5034, 816, 0.6875
0, 18.9213, 11.9908, 19.7476, 817, 0.625
0, 11.8087, 16.8468, 25.6365, 818, 0.4375
0, 21.3171, 13.1499, 20.8867, 819, 1
0, 19.2131, 16.4644, 20.266, 820, 0.6875
0, 21.4175, 10.9848, 24.1608, 821, 0.75
0, 16.4873, 15.2179, 22.2592, 822, 0.8125
0, 18.5921, 16.434, 20.0302, 823, 0.5625
0, 24.0388, 10.198, 19.8573, 824, 0.3125
0, 23.7458, 12.5668, 20.5188, 825, 0.8125
0, 22.4415, 16.1938, 16.9642, 826, 0.75
0, 19.64, 13.4932, 18.6142, 827, 0.4375
0, 26.5352, 11.5268, 20.2837, 828, 1.0625
0, 18.2816, 14.4537, 21.4496, 829, 0.9375
0, 22.5121, 16.4065, 19.015, 830, 0.6875
0, 17.9537, 15.3421, 24.0271, 831, 0.9375
0, 15.575, 16.1469, 21.5053, 832, 0.5
0, 18.7873, 15.9481, 24.102, 833, 0.5
0, 20.5954, 14.5115, 17.8775, 834, 0.5625
0, 19.846, 16.0685, 22.0423, 835, 0.625
0, 13.031, 18.1999, 25.5109, 836, 0.8125
0, 20.889, 11.1376, 26.1617, 837, 0.4375
0, 23.8993, 13.6259, 22.3591, 838, 0.625
0, 16.859, 21.1078, 21.4613, 839, 0.8125
0, 18.8469, 16.1701, 21.1758, 840, 0.75
0, 21.7665, 13.1598, 22.1063, 841, 1
0, 16.3326, 22.8845, 21.0149, 842, 0.8125
0, 22.7164, 15.9494, 21.1895, 843, 0.6875
0, 21.5961, 19.8107, 16.8869, 844, 0.625
0, 18.9249, 17.0533, 21.8258, 845, 0.75
0, 17.0021, 20.6466, 24.4068, 846, 0.5
0, 28.3468, 13.8651, 17.1709, 847, 0.625
0, 20.7033, 15.891, 21.9282, 848, 0.8125
0, 20.0056, 20.0584, 20.3601, 849, 0.75
0, 21.2698, 17.9069, 20.2326, 850, 1.0625
0, 22.7193, 14.2094, 21.7908, 851, 0.375
0, 17.494, 19.6255, 22.2692, 852, 0.75
0, 19.5552, 19.6526, 16.9514, 853, 0.5
0, 17.5038, 19.0628, 18.2528, 854, 0.75
0, 17.8103, 21.3604, 18.8007, 855, 0.6875
0, 21.6648, 13.545, 20.9559, 856, 0.75
0, 22.7865, 14.2329, 20.7498, 857, 1.0625
0, 12.6107, 21.3618, 23.8851, 858, 0.625
0, 21.5609, 18.8138, 16.5627, 859, 0.5
0, 22.2578, 13.8066, 23.7842, 860, 0.75
0, 22.1639, 15.2314, 22.6307, 861, 0.875
0, 20.153, 21.8898, 16.6504, 862, 1.25
0, 17.8468, 16.2237, 20.9096, 863, 0.8125
0, 21.2924, 17.8154, 17.9241, 864, 0.6875
0, 20.1177, 19.0849, 18.0215, 865, 1.3125
0, 23.8594, 18.0211, 19.3828, 866, 0.875
0, 20.9743, 17.1959, 18.5112, 867, 1.3125
0, 26.9533, 16.4453, 15.9396, 868, 1.0625
0, 20.9048, 17.6732, 19.9369, 869, 0.8125
0, 19.9458, 19.2293, 15.601, 870, 1
0, 19.6005, 17.5957, 14.2466, 871, 1.0625
0, 21.4696, 18.0274, 16.8558, 872, 1.0625
0, 18.3061, 18.2545, 16.0712, 873, 1.0625
0, 23.3447, 15.6533, 16.5748, 874, 1.3125
0, 18.0672, 16.7311, 18.9435, 875, 1.0625
0, 24.6609, 14.586, 17.4549, 876, 1.0625
0, 21.9905, 18.2285, 15.3043, 877, 0.875
0, 19.2482, 16.4211, 18.6507, 878, 0.9375
0, 18.2307, 17.7842, 14.9006, 879, 1.375
0, 18.8601, 20.3527, 17.693, 880, 0.875
0, 22.2342, 16.03, 17.4078, 881, 1
0, 16.9188, 16.1517, 19.9118, 882, 0.9375
0, 18.9069, 18.7692, 17.7446, 883, 1.125
0, 21.3041, 18.7488, 15.4144, 884, 1.0625
0, 23.3137, 16.2174, 14.7454, 885, 1
0, 23.0282, 17.3348, 14.033, 886, 1.25
0, 22.7229, 16.0897, 16.763, 887, 0.9375
0, 20.4817, 19.0309, 17.324, 888, 1.75
0, 22.8595, 16.1671, 16.5913, 889, 1.0625
0, 17.9428, 20.8292, 16.0337, 890, 0.625
0, 19.1745, 17.5384, 15.7525, 891, 1
0, 24.004, 15.8074, 16.048, 892, 1.1875
0, 18.4139, 17.9774, 19.2814, 893, 1.375
