year, row, col, elevation, annualDroughtIndex, seasonalDroughtIndex, annualDegreeDaySum, seasonalDegreeDaySum, minimumTemperature, AET, PET, annualPrecipitationSum
154, 2, 2, 740, 0.154597, 0.154597, 1593.59, 1481.92, 0.55, 47.2081, 55.5826, 112.96
155, 2, 2, 740, 1.23299e-08, 1.23299e-08, 1264.21, 1201.25, -4.25, 51.158, 51.158, 215.76
156, 2, 2, 740, 2.61556e-09, 2.61556e-09, 1464.32, 1369.3, -1.55, 53.3244, 53.3244, 181.47
157, 2, 2, 740, 0.109076, 0.127255, 1506.55, 1385.06, -1.25, 48.5718, 53.9303, 144.89
158, 2, 2, 740, 0.0249065, 0.0249065, 1379.16, 1276.1, -1.15, 51.8511, 53.1401, 175.01
159, 2, 2, 740, 0.158595, 0.158595, 1494.22, 1423.13, -3.05, 47.3323, 53.5637, 150.14
160, 2, 2, 740, 0.00526678, 0.00614458, 1420.12, 1319.47, -1.95, 51.1043, 51.3552, 203.32
161, 2, 2, 740, 0.21893, 0.21893, 1603.15, 1490.74, -2.15, 45.5501, 55.2711, 98.54
162, 2, 2, 740, 0.128665, 0.128665, 1306.09, 1098.91, 0.75, 51.2641, 54.7462, 112.52
163, 2, 2, 740, 0.0844043, 0.0844043, 1492.47, 1403.82, -1.55, 48.8242, 52.6714, 155.41
164, 2, 2, 740, 0.0502296, 0.0502296, 1288.62, 1129.66, 1.25, 51.8023, 53.6789, 166.03
165, 2, 2, 740, 0.0289341, 0.0289341, 1466.69, 1358.41, 0.45, 52.6492, 54.0264, 115.95
166, 2, 2, 740, 0.14446, 0.14446, 1546.18, 1455.59, -0.05, 48.4375, 54.2396, 108.66
167, 2, 2, 740, 7.4992e-09, 7.4992e-09, 1389.93, 1240.15, 0.05, 54.0101, 54.0101, 186.8
168, 2, 2, 740, 1.99021e-08, 1.92795e-08, 1307.69, 1156.63, -0.45, 52.7484, 52.7484, 168.04
169, 2, 2, 740, 0.0333403, 0.0333403, 1415.52, 1324.44, -2.65, 51.4816, 53.0815, 172.44
170, 2, 2, 740, 0.01901, 0.01901, 1237.89, 1160.45, -1.25, 49.9872, 50.8111, 182.59
171, 2, 2, 740, 0.0266764, 0.0266764, 1405.22, 1292.94, -1.55, 52.2858, 53.7551, 208.6
172, 2, 2, 740, 0.00782998, 0.00913498, 1612.12, 1472.67, 1.15, 55.1895, 55.5606, 164.96
173, 2, 2, 740, 0.200538, 0.229186, 1726.2, 1567.46, -2.45, 40.8973, 57.0536, 130.02
174, 2, 2, 740, 0.044497, 0.0519132, 1389.3, 1214.2, -2.75, 49.4803, 51.7573, 139.72
175, 2, 2, 740, 0.1462, 0.1462, 1528.03, 1458.54, -4.75, 45.9956, 52.2823, 130.82
176, 2, 2, 740, 0.0136278, 0.0158991, 1562.58, 1448.96, -4.65, 53.8565, 54.5313, 160.07
177, 2, 2, 740, 1.15464e-08, 1.15464e-08, 1532.83, 1409.48, -2.85, 53.4404, 53.4404, 168.75
178, 2, 2, 740, 0.000624629, 0.000624629, 1557.94, 1453.62, -0.05, 55.0229, 55.051, 187.02
179, 2, 2, 740, 0.0196153, 0.0228845, 1729.27, 1441.92, 3.65, 58.0702, 58.7531, 122.86
180, 2, 2, 740, 0.0503884, 0.0503884, 1653.81, 1462.46, -0.65, 54.7758, 57.0216, 125.02
181, 2, 2, 740, 0.189277, 0.220823, 1554, 1396.67, -0.65, 45.7418, 54.8932, 100.79
182, 2, 2, 740, 0.16582, 0.198984, 1709.91, 1508.96, 2.25, 50.3671, 57.7347, 106.59
183, 2, 2, 740, 0.0260323, 0.0260323, 1502.45, 1384.77, 1.65, 55.1822, 56.4688, 109
184, 2, 2, 740, 0.0571381, 0.0666611, 1808.15, 1573.7, 1.25, 55.0142, 58.2194, 139.74
185, 2, 2, 740, 0.048696, 0.048696, 1576.8, 1469.64, -0.65, 51.5083, 54.7031, 130.88
186, 2, 2, 740, 0.0168311, 0.0168311, 1373.87, 1239.03, -1.85, 53.255, 54.1021, 97.37
187, 2, 2, 740, 0.112359, 0.131086, 1692.34, 1469.36, 1.95, 51.4946, 57.6743, 110.1
188, 2, 2, 740, 0.115317, 0.115317, 1522.77, 1393.25, 0.05, 50.931, 55.4098, 112.98
189, 2, 2, 740, 7.0485e-09, 7.0485e-09, 1618, 1523.09, -1.85, 55.583, 55.583, 147.01
190, 2, 2, 740, 0.06961, 0.06961, 1713.8, 1568.78, 0.15, 53.2526, 57.4245, 128.38
191, 2, 2, 740, 0.0535671, 0.0535671, 1605.95, 1504.35, -2.05, 52.3232, 54.8666, 158.23
192, 2, 2, 740, 0.0228799, 0.0228799, 1630.06, 1423.91, 2.75, 56.8252, 58.0449, 152.76
193, 2, 2, 740, 0.228243, 0.266284, 2043.26, 1845.12, -1.25, 45.4838, 60.2127, 83.73
194, 2, 2, 740, 0.035574, 0.035574, 1545.06, 1443.07, -0.75, 53.0698, 54.9606, 103.86
195, 2, 2, 740, 0.142647, 0.142647, 1677.49, 1592.64, -3.05, 48.041, 55.7063, 92.75
196, 2, 2, 740, 0.169966, 0.198293, 1905.83, 1735.81, -0.95, 43.9451, 57.3787, 140.23
197, 2, 2, 740, 0.0108481, 0.0108481, 1673.43, 1531.8, 1.95, 57.816, 58.3415, 142.81
198, 2, 2, 740, 0.053202, 0.053202, 1576.59, 1429.91, 0.65, 53.602, 56.0029, 103.31
199, 2, 2, 740, 0.217694, 0.248793, 1740.85, 1633.2, -0.75, 44.4681, 56.2392, 74.97
200, 2, 2, 740, 0.0848956, 0.0848956, 1443.21, 1384.18, -2.55, 47.1174, 52.8333, 84.23
201, 2, 2, 740, 0.153768, 0.175735, 1930.43, 1658.76, 0.55, 52.3048, 59.5578, 111.85
202, 2, 2, 740, 1.09021e-08, 1.17812e-08, 1735.66, 1559.05, -4.35, 57.1928, 57.1928, 164.64
203, 2, 2, 740, 0.754115, 0.998397, 5795.29, 3555.16, 6.32, 8, 102.302, 0
204, 2, 2, 740, 0.121068, 0.121068, 1490.6, 1398.47, -1.65, 49.5576, 54.5044, 140.47
205, 2, 2, 740, 0.273912, 0.273912, 1901.45, 1804.38, -3.45, 45.1169, 58.2329, 119.93
206, 2, 2, 740, 7.79383e-09, 9.8309e-09, 1544.76, 1297.7, -0.45, 56.7202, 56.7202, 143.24
207, 2, 2, 740, 0.262189, 0.262189, 1699.33, 1619.74, 0.25, 40.7531, 55.5704, 84.94
208, 2, 2, 740, 0.0781989, 0.0781989, 1608.15, 1515.15, -2.75, 51.4502, 55.2388, 160.24
209, 2, 2, 740, 0.0174933, 0.0174933, 1472.77, 1332.51, -0.25, 52.8698, 53.6855, 128.84
210, 2, 2, 740, 0.285522, 0.285522, 1485.55, 1419.01, -1.75, 36.1734, 53.7754, 169.2
211, 2, 2, 740, 0.0893132, 0.0759437, 1674.21, 1437.43, -2.05, 52.9203, 56.9214, 89.2
212, 2, 2, 740, 0.000817885, 0.000817885, 1269.93, 1138.82, -4.15, 52.4694, 52.5014, 148.14
213, 2, 2, 740, 0.0478394, 0.0478394, 1313.89, 1194.49, -1.85, 50.8664, 52.6116, 133.56
214, 2, 2, 740, 1.10829e-08, 1.10829e-08, 1243.55, 1180.3, -9.95, 51.1394, 51.1394, 153.64
215, 2, 2, 740, 1.13202e-08, 1.32069e-08, 1419.54, 1228.23, 0.65, 55.1883, 55.1883, 127.88
216, 2, 2, 740, 6.27288e-09, 6.27288e-09, 1525.61, 1410.37, -1.55, 53.5614, 53.5614, 169.74
217, 2, 2, 740, 0.215174, 0.215174, 1723.81, 1521.23, -0.35, 49.6466, 58.1516, 102.87
218, 2, 2, 740, 9.69213e-09, 9.69213e-09, 1349.2, 1232.51, -0.65, 53.6136, 53.6136, 169.09
219, 2, 2, 740, 1.30511e-08, 1.30511e-08, 1645.56, 1458.11, 0.25, 56.6682, 56.6682, 185.65
220, 2, 2, 740, 0.138881, 0.138881, 1281.48, 1234.84, -2.05, 44.0675, 50.0184, 134.67
221, 2, 2, 740, 0.0199088, 0.0227529, 1425.3, 1322.13, -5.75, 52.347, 53.6931, 146.96
222, 2, 2, 740, 0.154911, 0.154911, 1593.59, 1481.92, 0.55, 47.2796, 55.5826, 112.96
223, 2, 2, 740, 1.23299e-08, 1.23299e-08, 1264.21, 1201.25, -4.25, 51.158, 51.158, 215.76
224, 2, 2, 740, 2.61556e-09, 2.61556e-09, 1464.32, 1369.3, -1.55, 53.3244, 53.3244, 181.47
225, 2, 2, 740, 0.110761, 0.129222, 1506.55, 1385.06, -1.25, 48.6539, 53.9303, 144.89
226, 2, 2, 740, 0.0216435, 0.0216435, 1379.16, 1276.1, -1.15, 52.02, 53.1401, 175.01
227, 2, 2, 740, 0.153761, 0.153761, 1494.22, 1423.13, -3.05, 47.5656, 53.5637, 150.14
228, 2, 2, 740, 1.05949e-08, 1.23607e-08, 1420.12, 1319.47, -1.95, 51.3552, 51.3552, 203.32
229, 2, 2, 740, 0.200575, 0.200575, 1603.15, 1490.74, -2.15, 46.4359, 55.2711, 98.54
230, 2, 2, 740, 0.127655, 0.127655, 1306.09, 1098.91, 0.75, 51.465, 54.7462, 112.52
231, 2, 2, 740, 0.0803024, 0.0803024, 1492.47, 1403.82, -1.55, 49.0447, 52.6714, 155.41
232, 2, 2, 740, 0.0425682, 0.0425682, 1288.62, 1129.66, 1.25, 52.0739, 53.6789, 166.03
