decade, abiealba, fagusilv, elevation, area
0, 25.8098, 32.8345, 658, 0.4375
0, 21.0614, 34.4698, 659, 0.5
0, 25.659, 31.4533, 660, 0.4375
0, 15.4919, 38.1952, 661, 0.4375
0, 12.6717, 46.3468, 662, 0.3125
0, 18.9721, 41.1979, 663, 0.3125
0, 29.9977, 22.0128, 664, 0.4375
0, 23.59, 36.7978, 665, 0.25
0, 25.7806, 31.513, 666, 0.1875
0, 19.4549, 37.1358, 667, 0.4375
0, 21.0446, 34.1675, 668, 0.5
0, 21.9375, 28.9286, 669, 0.625
0, 22.7882, 31.8691, 670, 0.375
0, 22.8639, 34.857, 671, 0.375
0, 26.1639, 33.7522, 672, 0.3125
0, 15.7906, 46.0962, 673, 0.25
0, 26.5676, 32.6748, 674, 0.75
0, 21.8409, 38.9193, 675, 0.25
0, 12.2196, 56.7723, 676, 0.125
0, 28.7618, 33.9866, 677, 0.4375
0, 18.7844, 33.9807, 678, 0.6875
0, 23.9075, 37.7276, 679, 0.5625
0, 18.7137, 37.7203, 680, 0.5625
0, 30.8919, 13.5314, 681, 0.375
0, 21.0699, 44.5584, 682, 0.3125
0, 23.6085, 33.4647, 683, 0.25
0, 24.9099, 36.4042, 684, 0.5625
0, 26.721, 38.6153, 685, 0.3125
0, 23.5741, 40.1533, 686, 0.5625
0, 21.7084, 39.4413, 687, 0.5625
0, 31.3518, 28.9501, 688, 0.3125
0, 33.1608, 15.4142, 689, 0.4375
0, 23.9519, 36.9854, 690, 0.375
0, 27.2501, 39.2227, 691, 0.4375
0, 27.1414, 38.2253, 692, 0.75
0, 27.4782, 39.1326, 693, 0.3125
0, 13.2944, 38.1776, 694, 0.25
0, 22.7726, 31.6544, 695, 0.375
0, 24.7608, 25.3344, 696, 0.1875
0, 20.183, 45.9535, 697, 0.5
0, 30.2285, 30.2802, 698, 0.8125
0, 25.4363, 35.7887, 699, 0.25
0, 26.6822, 35.3011, 700, 0.75
0, 19.995, 48.3436, 701, 0.4375
0, 18.8031, 43.2387, 702, 0.6875
0, 26.209, 34.0704, 703, 0.4375
0, 26.3555, 34.3719, 704, 0.625
0, 16.5823, 51.3197, 705, 0.8125
0, 21.5636, 38.1131, 706, 1
0, 28.5136, 26.7079, 707, 0.6875
0, 27.6939, 38.0125, 708, 0.75
0, 21.0361, 46.5638, 709, 0.5625
0, 26.8426, 37.0009, 710, 0.875
0, 23.9856, 36.1389, 711, 0.6875
0, 19.3693, 35.2835, 712, 1
0, 30.0065, 31.587, 713, 0.75
0, 30.8926, 29.7408, 714, 0.5625
0, 31.0316, 27.5035, 715, 1.125
0, 31.3315, 30.0442, 716, 0.875
0, 22.9312, 41.3379, 717, 0.5
0, 31.1039, 30.81, 718, 0.5625
0, 29.794, 32.9613, 719, 0.8125
0, 21.7638, 44.116, 720, 0.4375
0, 29.595, 34.0558, 721, 0.6875
0, 26.6172, 35.8569, 722, 0.8125
0, 18.573, 46.7484, 723, 0.375
0, 26.467, 37.1468, 724, 0.8125
0, 27.973, 38.4336, 725, 0.4375
0, 27.1048, 37.6171, 726, 1
0, 33.6988, 29.7102, 727, 0.5625
0, 31.9079, 32.9255, 728, 0.6875
0, 24.9719, 32.3756, 729, 0.6875
0, 24.7103, 29.5072, 730, 0.6875
0, 30.1892, 32.8281, 731, 0.625
0, 32.0038, 29.543, 732, 0.9375
0, 34.2267, 30.1837, 733, 0.625
0, 25.6092, 34.4991, 734, 0.625
0, 25.0339, 35.3598, 735, 1.0625
0, 26.3879, 38.1175, 736, 0.5625
0, 32.8775, 26.2154, 737, 0.75
0, 29.282, 28.7066, 738, 0.5625
0, 20.5742, 34.9243, 739, 0.5625
0, 35.7149, 28.5619, 740, 0.75
0, 31.4871, 37.8951, 741, 0.625
0, 30.2422, 32.0103, 742, 0.5625
0, 30.0497, 29.1701, 743, 0.6875
0, 33.1587, 24.5042, 744, 1
