year, row, col, elevation, annualDroughtIndex, seasonalDroughtIndex, annualDegreeDaySum, seasonalDegreeDaySum, minimumTemperature, AET, PET, annualPrecipitationSum
121, 2, 2, 740, 7.0485e-09, 7.0485e-09, 1618, 1523.09, -1.85, 55.583, 55.583, 147.01
122, 2, 2, 740, 0.038685, 0.038685, 1713.8, 1568.78, 0.15, 55.0831, 57.4245, 128.38
123, 2, 2, 740, 0.0192956, 0.0192956, 1605.95, 1504.35, -2.05, 53.9093, 54.8666, 158.23
124, 2, 2, 740, 0.00571088, 0.00571088, 1630.06, 1423.91, 2.75, 57.7405, 58.0449, 152.76
125, 2, 2, 740, 0.224161, 0.261522, 2043.26, 1845.12, -1.25, 46.1097, 60.2127, 83.73
126, 2, 2, 740, 0.0193204, 0.0193204, 1545.06, 1443.07, -0.75, 53.9229, 54.9606, 103.86
127, 2, 2, 740, 0.140122, 0.140122, 1677.49, 1592.64, -3.05, 48.4435, 55.7063, 92.75
128, 2, 2, 740, 0.163381, 0.190612, 1905.83, 1735.81, -0.95, 44.2555, 57.3787, 140.23
129, 2, 2, 740, 1.55344e-08, 1.55344e-08, 1673.43, 1531.8, 1.95, 58.3415, 58.3415, 142.81
130, 2, 2, 740, 0.0440133, 0.0440133, 1576.59, 1429.91, 0.65, 53.9967, 56.0029, 103.31
131, 2, 2, 740, 0.21527, 0.246023, 1740.85, 1633.2, -0.75, 44.7249, 56.2392, 74.97
132, 2, 2, 740, 0.0882616, 0.0882616, 1443.21, 1384.18, -2.55, 46.9419, 52.8333, 84.23
133, 2, 2, 740, 0.154897, 0.177025, 1930.43, 1658.76, 0.55, 52.2382, 59.5578, 111.85
134, 2, 2, 740, 0.00290056, 0.00386742, 1735.66, 1559.05, -4.35, 57.0323, 57.1928, 164.64
135, 2, 2, 740, 0.754498, 0.995185, 5795.29, 3555.16, 6.32, 8, 102.302, 0
136, 2, 2, 740, 0.12501, 0.12501, 1490.6, 1398.47, -1.65, 49.34, 54.5044, 140.47
137, 2, 2, 740, 0.276269, 0.276269, 1901.45, 1804.38, -3.45, 44.8929, 58.2329, 119.93
138, 2, 2, 740, 7.79383e-09, 9.8309e-09, 1544.76, 1297.7, -0.45, 56.7202, 56.7202, 143.24
139, 2, 2, 740, 0.264097, 0.264097, 1699.33, 1619.74, 0.25, 40.6168, 55.5704, 84.94
140, 2, 2, 740, 0.0727075, 0.0727075, 1608.15, 1515.15, -2.75, 51.7289, 55.2388, 160.24
141, 2, 2, 740, 0.010761, 0.010761, 1472.77, 1332.51, -0.25, 53.1838, 53.6855, 128.84
142, 2, 2, 740, 0.283854, 0.283854, 1485.55, 1419.01, -1.75, 36.3124, 53.7754, 169.2
143, 2, 2, 740, 0.0922948, 0.0777518, 1674.21, 1437.43, -2.05, 53.0094, 56.9214, 89.2
144, 2, 2, 740, 1.72026e-08, 1.72026e-08, 1269.93, 1138.82, -4.15, 52.5014, 52.5014, 148.14
145, 2, 2, 740, 0.0428081, 0.0428081, 1313.89, 1194.49, -1.85, 51.2585, 52.6116, 133.56
146, 2, 2, 740, 1.10829e-08, 1.10829e-08, 1243.55, 1180.3, -9.95, 51.1394, 51.1394, 153.64
147, 2, 2, 740, 1.13202e-08, 1.32069e-08, 1419.54, 1228.23, 0.65, 55.1883, 55.1883, 127.88
148, 2, 2, 740, 6.27288e-09, 6.27288e-09, 1525.61, 1410.37, -1.55, 53.5614, 53.5614, 169.74
149, 2, 2, 740, 0.241906, 0.241906, 1723.81, 1521.23, -0.35, 49.7478, 58.1516, 102.87
150, 2, 2, 740, 9.69213e-09, 9.69213e-09, 1349.2, 1232.51, -0.65, 53.6136, 53.6136, 169.09
151, 2, 2, 740, 1.30511e-08, 1.30511e-08, 1645.56, 1458.11, 0.25, 56.6682, 56.6682, 185.65
152, 2, 2, 740, 0.144328, 0.144328, 1281.48, 1234.84, -2.05, 43.8288, 50.0184, 134.67
153, 2, 2, 740, 0.0240467, 0.0274819, 1425.3, 1322.13, -5.75, 52.0672, 53.6931, 146.96
154, 2, 2, 740, 0.154523, 0.154523, 1593.59, 1481.92, 0.55, 47.172, 55.5826, 112.96
155, 2, 2, 740, 1.23299e-08, 1.23299e-08, 1264.21, 1201.25, -4.25, 51.158, 51.158, 215.76
156, 2, 2, 740, 2.61556e-09, 2.61556e-09, 1464.32, 1369.3, -1.55, 53.3244, 53.3244, 181.47
157, 2, 2, 740, 0.108415, 0.126485, 1506.55, 1385.06, -1.25, 48.5307, 53.9303, 144.89
158, 2, 2, 740, 0.0264162, 0.0264162, 1379.16, 1276.1, -1.15, 51.7729, 53.1401, 175.01
159, 2, 2, 740, 0.160843, 0.160843, 1494.22, 1423.13, -3.05, 47.2197, 53.5637, 150.14
160, 2, 2, 740, 0.00263418, 0.00307322, 1420.12, 1319.47, -1.95, 51.2297, 51.3552, 203.32
161, 2, 2, 740, 0.214591, 0.214591, 1603.15, 1490.74, -2.15, 45.7588, 55.2711, 98.54
162, 2, 2, 740, 0.12681, 0.12681, 1306.09, 1098.91, 0.75, 51.4194, 54.7462, 112.52
163, 2, 2, 740, 0.0822692, 0.0822692, 1492.47, 1403.82, -1.55, 48.9383, 52.6714, 155.41
164, 2, 2, 740, 0.046281, 0.046281, 1288.62, 1129.66, 1.25, 51.9424, 53.6789, 166.03
165, 2, 2, 740, 0.0262988, 0.0262988, 1466.69, 1358.41, 0.45, 52.7747, 54.0264, 115.95
166, 2, 2, 740, 0.144882, 0.144882, 1546.18, 1455.59, -0.05, 48.4973, 54.2396, 108.66
167, 2, 2, 740, 7.4992e-09, 7.4992e-09, 1389.93, 1240.15, 0.05, 54.0101, 54.0101, 186.8
168, 2, 2, 740, 1.99021e-08, 1.92795e-08, 1307.69, 1156.63, -0.45, 52.7484, 52.7484, 168.04
169, 2, 2, 740, 0.0305349, 0.0305349, 1415.52, 1324.44, -2.65, 51.6102, 53.0815, 172.44
170, 2, 2, 740, 0.0162468, 0.0162468, 1237.89, 1160.45, -1.25, 50.107, 50.8111, 182.59
171, 2, 2, 740, 0.0245022, 0.0245022, 1405.22, 1292.94, -1.55, 52.4055, 53.7551, 208.6
172, 2, 2, 740, 0.00530311, 0.00618696, 1612.12, 1472.67, 1.15, 55.3093, 55.5606, 164.96
173, 2, 2, 740, 0.199441, 0.227932, 1726.2, 1567.46, -2.45, 40.9534, 57.0536, 130.02
174, 2, 2, 740, 0.0426563, 0.0497657, 1389.3, 1214.2, -2.75, 49.5745, 51.7573, 139.72
175, 2, 2, 740, 0.144321, 0.144321, 1528.03, 1458.54, -4.75, 46.1026, 52.2823, 130.82
176, 2, 2, 740, 0.0112094, 0.0130776, 1562.58, 1448.96, -4.65, 53.9762, 54.5313, 160.07
177, 2, 2, 740, 1.15464e-08, 1.15464e-08, 1532.83, 1409.48, -2.85, 53.4404, 53.4404, 168.75
178, 2, 2, 740, 1.46293e-08, 1.46293e-08, 1557.94, 1453.62, -0.05, 55.051, 55.051, 187.02
179, 2, 2, 740, 0.017309, 0.0201938, 1729.27, 1441.92, 3.65, 58.1505, 58.7531, 122.86
180, 2, 2, 740, 0.0291729, 0.0291729, 1653.81, 1462.46, -0.65, 55.7168, 57.0216, 125.02
181, 2, 2, 740, 0.191903, 0.223887, 1554, 1396.67, -0.65, 46.0729, 54.8932, 100.79
182, 2, 2, 740, 0.145048, 0.174058, 1709.91, 1508.96, 2.25, 51.315, 57.7347, 106.59
183, 2, 2, 740, 0.0107592, 0.0107592, 1502.45, 1384.77, 1.65, 55.9107, 56.4688, 109
184, 2, 2, 740, 0.038834, 0.0453064, 1808.15, 1573.7, 1.25, 56.0302, 58.2194, 139.74
185, 2, 2, 740, 0.0411557, 0.0411557, 1576.8, 1469.64, -0.65, 52.003, 54.7031, 130.88
186, 2, 2, 740, 0.00673909, 0.00673909, 1373.87, 1239.03, -1.85, 53.7629, 54.1021, 97.37
187, 2, 2, 740, 0.108227, 0.126265, 1692.34, 1469.36, 1.95, 51.854, 57.6743, 110.1
188, 2, 2, 740, 0.0963579, 0.0963579, 1522.77, 1393.25, 0.05, 51.7479, 55.4098, 112.98
189, 2, 2, 740, 7.0485e-09, 7.0485e-09, 1618, 1523.09, -1.85, 55.583, 55.583, 147.01
190, 2, 2, 740, 0.0495237, 0.0495237, 1713.8, 1568.78, 0.15, 54.4416, 57.4245, 128.38
191, 2, 2, 740, 0.0275635, 0.0275635, 1605.95, 1504.35, -2.05, 53.5121, 54.8666, 158.23
192, 2, 2, 740, 0.0117283, 0.0117283, 1630.06, 1423.91, 2.75, 57.4197, 58.0449, 152.76
193, 2, 2, 740, 0.225104, 0.262622, 2043.26, 1845.12, -1.25, 45.9158, 60.2127, 83.73
194, 2, 2, 740, 0.0247408, 0.0247408, 1545.06, 1443.07, -0.75, 53.6317, 54.9606, 103.86
195, 2, 2, 740, 0.140496, 0.140496, 1677.49, 1592.64, -3.05, 48.3263, 55.7063, 92.75
196, 2, 2, 740, 0.165405, 0.192972, 1905.83, 1735.81, -0.95, 44.1705, 57.3787, 140.23
197, 2, 2, 740, 1.55344e-08, 1.55344e-08, 1673.43, 1531.8, 1.95, 58.3415, 58.3415, 142.81
198, 2, 2, 740, 0.0383928, 0.0383928, 1576.59, 1429.91, 0.65, 54.2368, 56.0029, 103.31
199, 2, 2, 740, 0.214056, 0.244636, 1740.85, 1633.2, -0.75, 44.875, 56.2392, 74.97
200, 2, 2, 740, 0.0924646, 0.0924646, 1443.21, 1384.18, -2.55, 46.7193, 52.8333, 84.23
201, 2, 2, 740, 0.156372, 0.17871, 1930.43, 1658.76, 0.55, 52.1542, 59.5578, 111.85
202, 2, 2, 740, 0.00722208, 0.00962944, 1735.66, 1559.05, -4.35, 56.7932, 57.1928, 164.64
203, 2, 2, 740, 0.754921, 0.991298, 5795.29, 3555.16, 6.32, 8, 102.302, 0
204, 2, 2, 740, 0.130094, 0.130094, 1490.6, 1398.47, -1.65, 49.0672, 54.5044, 140.47
205, 2, 2, 740, 0.279474, 0.279474, 1901.45, 1804.38, -3.45, 44.6036, 58.2329, 119.93
206, 2, 2, 740, 7.79383e-09, 9.8309e-09, 1544.76, 1297.7, -0.45, 56.7202, 56.7202, 143.24
207, 2, 2, 740, 0.266611, 0.266611, 1699.33, 1619.74, 0.25, 40.4442, 55.5704, 84.94
208, 2, 2, 740, 0.0867616, 0.0867616, 1608.15, 1515.15, -2.75, 51.0186, 55.2388, 160.24
209, 2, 2, 740, 0.0269195, 0.0269195, 1472.77, 1332.51, -0.25, 52.4303, 53.6855, 128.84
210, 2, 2, 740, 0.286603, 0.286603, 1485.55, 1419.01, -1.75, 36.0885, 53.7754, 169.2
211, 2, 2, 740, 0.0885517, 0.0762228, 1674.21, 1437.43, -2.05, 52.8653, 56.9214, 89.2
212, 2, 2, 740, 0.00737824, 0.00737824, 1269.93, 1138.82, -4.15, 52.2123, 52.5014, 148.14
213, 2, 2, 740, 0.0511369, 0.0511369, 1313.89, 1194.49, -1.85, 50.6648, 52.6116, 133.56
214, 2, 2, 740, 1.10829e-08, 1.10829e-08, 1243.55, 1180.3, -9.95, 51.1394, 51.1394, 153.64
215, 2, 2, 740, 1.13202e-08, 1.32069e-08, 1419.54, 1228.23, 0.65, 55.1883, 55.1883, 127.88
216, 2, 2, 740, 6.27288e-09, 6.27288e-09, 1525.61, 1410.37, -1.55, 53.5614, 53.5614, 169.74
217, 2, 2, 740, 0.203619, 0.203619, 1723.81, 1521.23, -0.35, 49.5759, 58.1516, 102.87
218, 2, 2, 740, 9.69213e-09, 9.69213e-09, 1349.2, 1232.51, -0.65, 53.6136, 53.6136, 169.09
219, 2, 2, 740, 1.30511e-08, 1.30511e-08, 1645.56, 1458.11, 0.25, 56.6682, 56.6682, 185.65
220, 2, 2, 740, 0.153698, 0.153698, 1281.48, 1234.84, -2.05, 43.4187, 50.0184, 134.67
221, 2, 2, 740, 0.0306179, 0.0349918, 1425.3, 1322.13, -5.75, 51.6229, 53.6931, 146.96
222, 2, 2, 740, 0.157099, 0.157099, 1593.59, 1481.92, 0.55, 46.9494, 55.5826, 112.96
223, 2, 2, 740, 1.23299e-08, 1.23299e-08, 1264.21, 1201.25, -4.25, 51.158, 51.158, 215.76
224, 2, 2, 740, 2.61556e-09, 2.61556e-09, 1464.32, 1369.3, -1.55, 53.3244, 53.3244, 181.47
225, 2, 2, 740, 0.106246, 0.123953, 1506.55, 1385.06, -1.25, 48.2947, 53.9303, 144.89
226, 2, 2, 740, 0.0339955, 0.0339955, 1379.16, 1276.1, -1.15, 51.3807, 53.1401, 175.01
227, 2, 2, 740, 0.17298, 0.17298, 1494.22, 1423.13, -3.05, 46.5861, 53.5637, 150.14
228, 2, 2, 740, 0.00892028, 0.010407, 1420.12, 1319.47, -1.95, 50.9302, 51.3552, 203.32
229, 2, 2, 740, 0.225101, 0.225101, 1603.15, 1490.74, -2.15, 45.254, 55.2711, 98.54
230, 2, 2, 740, 0.132961, 0.132961, 1306.09, 1098.91, 0.75, 50.9591, 54.7462, 112.52
231, 2, 2, 740, 0.0882299, 0.0882299, 1492.47, 1403.82, -1.55, 48.6228, 52.6714, 155.41
232, 2, 2, 740, 0.0571244, 0.0571244, 1288.62, 1129.66, 1.25, 51.557, 53.6789, 166.03
233, 2, 2, 740, 0.0333799, 0.0333799, 1466.69, 1358.41, 0.45, 52.4376, 54.0264, 115.95
