decade, abiealba, fagusilv, elevation, area
0, 2264.89, 1614.22, 813, 0.5625
0, 1786.29, 1312, 814, 0.875
0, 2310.4, 1780.27, 815, 0.9375
0, 1611.64, 1922.91, 816, 0.6875
0, 1457.6, 1857.6, 817, 0.625
0, 2235.43, 2041.14, 818, 0.4375
0, 2122, 1665, 819, 1
0, 2181.82, 1744, 820, 0.6875
0, 1994.67, 1996, 821, 0.75
0, 1948.31, 1982.77, 822, 0.8125
0, 1946.67, 1813.33, 823, 0.5625
0, 1440, 2297.6, 824, 0.3125
0, 1703.38, 2254.77, 825, 0.8125
0, 2124, 1905.33, 826, 0.75
0, 1611.43, 2164.57, 827, 0.4375
0, 2454.59, 1711.06, 828, 1.0625
0, 1920, 1953.07, 829, 0.9375
0, 2013.09, 2017.45, 830, 0.6875
0, 2349.87, 1622.4, 831, 0.9375
0, 2050, 1844, 832, 0.5
0, 2542, 1820, 833, 0.5
0, 1530.67, 2513.78, 834, 0.5625
0, 1889.6, 1849.6, 835, 0.625
0, 2180.92, 1806.77, 836, 0.8125
0, 2347.43, 1600, 837, 0.4375
0, 2076.8, 1937.6, 838, 0.625
0, 1880.62, 1864.62, 839, 0.8125
0, 1966.67, 2208, 840, 0.75
0, 1927, 2015, 841, 1
0, 2555.08, 1721.85, 842, 0.8125
0, 2490.18, 1733.82, 843, 0.6875
0, 2500.8, 1788.8, 844, 0.625
0, 1693.33, 2210.67, 845, 0.75
0, 2536, 1428, 846, 0.5
0, 2172.8, 1993.6, 847, 0.625
0, 2222.77, 1899.08, 848, 0.8125
0, 1986.67, 2172, 849, 0.75
0, 1818.35, 2246.59, 850, 1.0625
0, 2429.33, 1520, 851, 0.375
0, 2294.67, 1513.33, 852, 0.75
0, 2250, 1588, 853, 0.5
0, 2457.33, 1392, 854, 0.75
0, 2037.82, 1937.45, 855, 0.6875
0, 2749.33, 1393.33, 856, 0.75
0, 1678.12, 1931.29, 857, 1.0625
0, 2067.2, 2033.6, 858, 0.625
0, 2088, 1824, 859, 0.5
0, 2432, 1529.33, 860, 0.75
0, 1742.86, 2112, 861, 0.875
0, 1728.8, 2093.6, 862, 1.25
0, 2365.54, 1684.92, 863, 0.8125
0, 2530.91, 1646.55, 864, 0.6875
0, 1915.43, 1984, 865, 1.3125
0, 1928, 1798.86, 866, 0.875
0, 2192, 1632.76, 867, 1.3125
0, 1804.24, 2040.47, 868, 1.0625
0, 2155.08, 1899.08, 869, 0.8125
0, 1752, 1834, 870, 1
0, 2306.82, 1309.18, 871, 1.0625
0, 2438.59, 1350.59, 872, 1.0625
